Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/variable/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Bob Dattore",/dsOverview/contact,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"MAPS",/dsOverview/platform,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/platform/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GRIDDING METHODS",/dsOverview/platform,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/platform/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"ESSPO > 433L ESSPO",/dsOverview/project,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/project/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"climatologyMeteorologyAtmosphere",/dsOverview/topic,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"ISO",/dsOverview/topic/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"journal",/dsOverview/reference/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"K.E. Trenberth, and D.A. Paolino",/dsOverview/reference/authorList,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"1980",/dsOverview/reference/year,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"The Northern Hemisphere sea level pressure data set: Trends, errors, and discontinuities",/dsOverview/reference/title,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Mon. Wea. Rev.",/dsOverview/reference/periodical,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"108",/dsOverview/reference/periodical/@number,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"855-872",/dsOverview/reference/periodical/@pages,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"010.0",/dsOverview/relatedDataset/@ID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"1979-12-13",/dsOverview/publicationDate,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"1899-01-01 13:00 +0000",/dsOverview/contentMetadata/temporal/@start,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"2015-10-31 31:00 +0000",/dsOverview/contentMetadata/temporal/@end,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Entire Dataset",/dsOverview/contentMetadata/temporal/@groupID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"regular",/dsOverview/contentMetadata/temporalFrequency/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"1",/dsOverview/contentMetadata/temporalFrequency/@number,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"month",/dsOverview/contentMetadata/temporalFrequency/@unit,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"grid",/dsOverview/contentMetadata/dataType,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"platform_observation",/dsOverview/contentMetadata/dataType,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"DSS_SLP_Grid",/dsOverview/contentMetadata/format,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"http://dss.ucar.edu/datasets/common/ncar.slp/format.html",/dsOverview/contentMetadata/format/@href,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"latLon",/dsOverview/contentMetadata/geospatialCoverage/grid/@definition,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"72",/dsOverview/contentMetadata/geospatialCoverage/grid/@numX,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"16",/dsOverview/contentMetadata/geospatialCoverage/grid/@numY,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"0E",/dsOverview/contentMetadata/geospatialCoverage/grid/@startLon,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"15N",/dsOverview/contentMetadata/geospatialCoverage/grid/@startLat,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"355E",/dsOverview/contentMetadata/geospatialCoverage/grid/@endLon,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"90N",/dsOverview/contentMetadata/geospatialCoverage/grid/@endLat,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"5",/dsOverview/contentMetadata/geospatialCoverage/grid/@xRes,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"5",/dsOverview/contentMetadata/geospatialCoverage/grid/@yRes,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"012.0",/dsOverview/@ID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"primary",/dsOverview/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"2007-07-24 15:27:09 -0600",/dsOverview/timeStamp/@value,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"no",/dsOverview/continuingUpdate/@value,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"all_free",/dsOverview/access,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"standard",/dsOverview/access/@pricingRate,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"U.S.S.R. Northern Hemisphere Daily Sea-Level Pressure Grids for 1880 to 1979",/dsOverview/title,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"This dataset contains once-daily Northern Hemisphere sea-level pressure data on a 10-degree by 5-degree (36x16) latitude/longitude grid for the period 1880 to 1979.",/dsOverview/summary/p,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"GCMD",/dsOverview/creator/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"UCAR/NCAR/CISL/DSS > Data Support Section, Scientific Computing Division, National Center for Atmospheric Research, University Corporation for Atmospheric Research",/dsOverview/creator/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"RU/SRIHI/WDC > World Data Center, All-Union Scientific Research Institute for Hydrometeorological Information, Russia",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure",/dsOverview/variable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"GCMD",/dsOverview/variable/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"Bob Dattore",/dsOverview/contact,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"GRIDDING METHODS",/dsOverview/platform,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"GCMD",/dsOverview/platform/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"climatologyMeteorologyAtmosphere",/dsOverview/topic,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"ISO",/dsOverview/topic/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"1984-10-04",/dsOverview/publicationDate,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"1880-01",/dsOverview/contentMetadata/temporal/@start,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"1979-12",/dsOverview/contentMetadata/temporal/@end,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"Entire Dataset",/dsOverview/contentMetadata/temporal/@groupID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"regular",/dsOverview/contentMetadata/temporalFrequency/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"1",/dsOverview/contentMetadata/temporalFrequency/@number,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"day",/dsOverview/contentMetadata/temporalFrequency/@unit,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"grid",/dsOverview/contentMetadata/dataType,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"proprietary_Binary",/dsOverview/contentMetadata/format,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"http://dss.ucar.edu/datasets/ds012.0/docs/description.pdf",/dsOverview/contentMetadata/format/@href,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds012.0.xml,Unknown,"Mean sea level",/dsOverview/contentMetadata/levels/level/@type,Undefined
